SchoolID,SchoolName,FullName,CPS Unit,Latitude,Longitude
400028,Cics - Prairie,Chicago Intl Charter - Prairie,4220,41.68443323,-87.61685178
400029,Cics - Washington Park,Chicago Intl Charter - Washington Park,2290,41.78361635,-87.62210511
400030,Cics - West Belden,Chicago Intl Charter - West Belden,7120,41.92168676,-87.77678527
400031,Cics - Wrightwood,Chicago Intl Charter - Wrightwood,3180,41.74536599,-87.69257776
610347,Claremont,Claremont Academy Elementary School,7830,41.90678838,-87.68304916
610244,Clark HS,Michele Clark Academic Prep Magnet High School,6620,41.80234314,-87.67216973
609795,"Clark, G",George Rogers Clark Elementary School,2230,41.78494358,-87.64741621
609856,Clay,Henry Clay Elementary School,2790,41.89668525,-87.68893629
609759,Clemente HS,Roberto Clemente Community Academy High School,1840,41.87860208,-87.66427006
609857,Cleveland,Grover Cleveland Elementary School,2800,41.80165918,-87.68557034
609859,Clinton,DeWitt Clinton Elementary School,2810,41.65455819,-87.54465019
609861,Clissold,Henry R Clissold Elementary School,2820,41.95206956,-87.70644261
610199,Colemon,Johnnie Colemon Elementary Academy,6170,41.89237718,-87.67372192
609862,Coles,Edward Coles Elementary Language Academy,2830,41.99254202,-87.69832318
610499,Collins HS,Collins Academy High School,1045,41.94138825,-87.69072465
610170,Columbia Explorers,Columbia Explorers Elementary Academy,5860,41.93040255,-87.7612272
609863,Columbus,Christopher Columbus Elementary School,2850,41.69299857,-87.68089596
400038,Community Services West,Community Services West Academy,1225,41.86495162,-87.72505872
609864,Cook,John W Cook Elementary School,2860,41.74141253,-87.56600641
609866,Coonley,John C Coonley Elementary School,2880,41.74523755,-87.65973795
609867,Cooper,Peter Cooper Elementary Dual Language Academy,2890,42.01708749,-87.67772572
609870,Corkery,Daniel J Corkery Elementary School,2910,41.85600375,-87.66722648
609761,Corliss HS,George H Corliss High School,1860,41.90262531,-87.68694287
610355,Courtenay,Mary E Courtenay Elementary Language Arts Center,7910,41.82434989,-87.71165288
609702,Crane HS,Richard T Crane Technical Preparatory HS,1270,41.97506793,-87.67944745
610561,Crane Medical Prep,Richard T Crane Medical Preparatory HS,9621,41.7537492,-87.70738199
609873,Crown,Crown Community Academy of Fine Arts Center ES,2940,41.6881634,-87.68567603
610003,Cuffe,Paul Cuffe Math-Science Technology Academy ES,4090,41.89361291,-87.75936167
610004,Cullen,Countee Cullen Elementary School,4100,41.73333712,-87.56826473
609756,Curie HS,Marie Sklodowska Curie Metropolitan High School,1820,41.83055442,-87.61925223
609900,Curtis,George W Curtis Elementary School,3160,41.77439302,-87.70795184
610239,Daley,Richard J Daley Elementary Academy,6560,41.80916219,-87.62713785
609875,Darwin,Charles R Darwin Elementary School,2960,41.85266417,-87.71243346
610521,"Davis, M",Sir Miles Davis Magnet Elementary Academy,7000,41.88521269,-87.76328559
609876,"Davis, N",Nathan S Davis Elementary School,2970,41.97374222,-87.84104174
609879,Dawes,Charles Gates Dawes Elementary School,2980,41.92329528,-87.7054124
610367,De Priest,Oscar DePriest Elementary School,8050,41.65370554,-87.61431991
609880,Decatur,Stephen Decatur Classical Elementary School,2990,41.82182418,-87.70020131
609883,Deneen,Charles S Deneen Elementary School,3010,41.74505032,-87.71735263
610252,Dett,Robert Nathaniel Dett Elementary School,6740,41.9013897,-87.63372992
609884,Dever,William E Dever Elementary School,3020,42.00928815,-87.7045818
610402,Devry HS,DeVry University Advantage Academy HS,6990,41.96552003,-87.65247254
609885,Dewey,Dewey Elementary Academy of Fine Arts,3030,41.76249075,-87.62330794
610313,Diego,Jose De Diego Elementary Community Academy,7420,41.88356877,-87.66944
609874,Dirksen,Everett McKinley Dirksen Elementary School,2950,41.85605616,-87.65798096
610363,Disney,Walt Disney Magnet Elementary School,8000,41.84816155,-87.69905409
610515,Disney Ii,Disney II Magnet School,8045,41.78150519,-87.63501534
,Disney Ii HS,Disney II Magnet High School,9626,41.75269664,-87.55089097
609887,Dixon,Arthur Dixon Elementary School,3040,41.94255239,-87.81309478
609888,Dodge,Mary Mapes Dodge Elementary Renaissance Academy,3050,41.7956451,-87.64268824
609891,Doolittle,James R Doolittle Jr Elementary School,3070,41.74366991,-87.60994224
609893,Dore,John C Dore Elementary School,3080,41.88928674,-87.70506197
610245,Douglass HS,Frederick A Douglass Academy High School,6630,41.95998361,-87.64978592
609894,Drake,John B Drake Elementary School,3100,41.83114661,-87.61295853
609896,Drummond,Thomas Drummond Elementary School,3120,41.84404358,-87.62851675
610364,Dubois,William E B Dubois Elementary School,8010,41.71566482,-87.63934209
610263,Dulles,John Foster Dulles Elementary School,6860,41.81733673,-87.59909936
609676,Dunbar HS,Paul Laurence Dunbar Career Academy High School,1030,41.88751636,-87.70216585
610188,Dunne Tech Acad,Dunne Technology Academy,6050,41.84816155,-87.69905409
610352,Durkin Park,Durkin Park Elementary School,7870,41.77748307,-87.68106039
610254,Dvorak Tech Acad,Dvorak Technology Academy,6760,41.88292249,-87.69918651
609736,Dyett HS,Dyett High School,1600,41.98293355,-87.79154677
610316,Earhart,Amelia Earhart Options for Knowledge ES,7450,41.90529329,-87.68579293
609897,Earle,Charles W Earle Elementary School,3130,41.72559833,-87.63013085
609898,Eberhart,John F Eberhart Elementary School,3140,41.91594124,-87.67449544
609899,Ebinger,Christian Ebinger Elementary School,3150,41.78119773,-87.67554651
609901,Edgebrook,Edgebrook Elementary School,3170,42.00438051,-87.81116815
610523,Edison Park,Edison Park Elementary School,2085,41.90291498,-87.67365931
609794,"Edison, T",Thomas A Edison Regional Gifted Center ES,2220,41.95822048,-87.70211421
609903,Edwards,Richard Edwards Elementary School,3200,41.99941351,-87.76185985
609904,Ellington,Edward K Ellington Elementary School,3220,41.66944339,-87.63434211
400094,Epic Chtr HS,EPIC Academy High School,8058,41.74484818,-87.55025899
609907,Ericson,Leif Ericson Elementary Scholastic Academy,3240,41.80554091,-87.72589285
400039,Erie Chtr Campus,Erie Elementary Charter School,5780,41.90677155,-87.69440116
609908,Esmond,Esmond Elementary School,3250,41.88552865,-87.76662608
609909,Everett,Edward Everett Elementary School,3260,41.87571841,-87.7157916
610319,Evergreen,Evergreen Academy Middle School,7490,41.72608002,-87.58218089
610362,Evers,Medgar Evers Elementary School,7990,41.96230796,-87.6638162
610057,Fairfield,Fairfield Elementary Academy,4660,41.87968615,-87.70809136
609910,Falconer,Laughlin Falconer Elementary School,3270,41.68944489,-87.66914442
610055,Faraday,Michael Faraday Elementary School,4640,41.77388174,-87.69699315
609912,Farnsworth,James B Farnsworth Elementary School,3280,41.83155458,-87.68134699
609704,Farragut HS,David G Farragut Career Academy High School,1300,41.74940305,-87.72109816
609705,Fenger HS,Christian Fenger Academy High School,1310,41.87752873,-87.68324895
609917,Fernwood,Fernwood Elementary School,3330,41.93578539,-87.74929389
609918,Field,Eugene Field Elementary School,3350,41.97978968,-87.76603488
609967,Finkl,William F Finkl Elementary School,3760,41.80724101,-87.66121133
609919,Fiske,John Fiske Elementary School,3360,41.71118307,-87.64045026
400042,Ford Chtr HS,Henry Ford Academy Power House Charter HS,1165,41.86931199,-87.71056333
609708,Foreman HS,Edwin G Foreman High School,1330,41.68995131,-87.63753545
609924,Fort Dearborn,Fort Dearborn Elementary School,3400,41.84792346,-87.69663009
609927,Foster Park,Foster Park Elementary School,3430,41.87117946,-87.70085606
609926,Franklin,Franklin Elementary Fine Arts Center,3420,41.72967209,-87.65551779
400040,Frazier Chtr,Frazier Preparatory Academy Elementary School,6650,41.86701365,-87.7263137
610503,Frazier Prospective,Frazier Prospective IB Magnet ES,5850,41.88521269,-87.76328559
609928,Fuller,Melville W Fuller Elementary School,3440,41.90662743,-87.63551358
609929,Fulton,Robert Fulton Elementary School,3450,41.73842601,-87.66806268
609930,Funston,Frederick Funston Elementary School,3460,41.81800373,-87.61174736
609709,Gage Park HS,Gage Park High School,1340,41.76971342,-87.63718937
400041,Galapagos Chtr Campus,Galapagos Elementary Charter School,5840,41.89728559,-87.72195859
609933,Gale,Stephen F Gale Elementary Community Academy,3480,41.79758117,-87.66839923
610009,Galileo,Galileo Math & Science Scholastic Academy ES,4160,41.86054518,-87.73177802
609935,Gallistel,Matthew Gallistel Elementary Language Academy,3490,41.917617,-87.71685493
610128,Garvey,Marcus Moziah Garvey Elementary School,5420,41.8365273,-87.61830096
609937,Garvy,John W Garvy Elementary School,3510,42.02111795,-87.67193673
609938,Gary,Joseph E Gary Elementary School,3520,41.70680108,-87.53521193
609939,Gillespie,Frank L Gillespie Elementary School,3530,41.97635198,-87.79627189
400009,Global Citizenship Chtr,Academy for Global Citizenship Elementary School,2025,41.80760595,-87.74009812
609942,Goethe,Johann W von Goethe Elementary School,3560,41.72533163,-87.62375606
609943,Gompers,Samuel Gompers Fine Arts Options ES,3570,41.76061464,-87.67592887
610558,Goode Acad HS,Sarah E. Goode STEM Academy,9598,41.89555356,-87.75432041
609945,Goudy,William C Goudy Elementary School,3590,41.67061831,-87.62250908
609947,Graham,Alexander Graham Elementary School,3600,41.66248096,-87.55327011
609769,"Graham,r HS",Ray Graham Training Center High School,1950,41.96036317,-87.76469993
609949,"Gray, W",William P Gray Elementary School,3620,41.97581701,-87.65787572
610383,Greater Lawndale HS,Greater Lawndale High School For Social Justice,7600,41.80455878,-87.62441056
609850,Greeley,Horace Greeley Elementary School,2730,41.65737753,-87.6064739
610032,Green,Wendell E Green Elementary School,4410,41.90888534,-87.66512999
609952,Greene,Nathanael Greene Elementary School,3650,41.83879101,-87.71715363
609954,Gregory,John Milton Gregory Elementary School,3660,41.81138912,-87.5985199
609955,Gresham,Walter Q Gresham Elementary School,3670,41.8296687,-87.67152905
609956,Grimes,Robert L Grimes Elementary School,3680,41.8707696,-87.71866646
609944,Grissom,Virgil Grissom Elementary School,3580,41.9228315,-87.69286296
609958,Gunsaulus,Frank W Gunsaulus Elementary Scholastic Academy,3690,41.73892072,-87.64498861
609959,Haines,John Charles Haines Elementary School,3700,41.77543683,-87.75880234
609960,Hale,Nathan Hale Elementary School,3710,41.81300814,-87.69932752
609808,Haley,Alex Haley Elementary Academy,2360,41.7543656,-87.55710533
609963,Hamilton,Alexander Hamilton Elementary School,3730,41.78019251,-87.77654206
609964,Hamline,John H Hamline Elementary School,3740,41.74375501,-87.55182517
609966,Hammond,Charles G Hammond Elementary School,3750,41.94519222,-87.67086451
609807,Hampton,Lionel Hampton Fine & Performing Arts ES,2350,41.74933875,-87.66940229
609694,Hancock HS,John Hancock College Preparatory High School,1200,41.74578671,-87.63544628
610068,Hanson Park,Hanson Park Elementary School,4770,41.73454933,-87.61925107
609710,Harlan HS,John M Harlan Community Academy High School,1350,41.93979614,-87.75420329
609711,Harper HS,William Rainey Harper High School,1360,41.79101341,-87.68891728
609969,Harte,Bret Harte Elementary School,3780,41.84921545,-87.68563115
609971,Harvard,John Harvard Elementary School of Excellence,3800,41.91481569,-87.72396786
609972,Haugan,Helge A Haugan Elementary School,3810,41.7934198,-87.58685411
609974,Hawthorne,Hawthorne Elementary Scholastic Academy,3830,41.96402918,-87.72309127
609975,Hay,John Hay Elementary Community Academy,3840,41.84139453,-87.73427664
609976,Hayt,Stephen K Hayt Elementary School,3850,41.94227489,-87.65774562
609979,Healy,Robert Healy Elementary School,3880,41.77336523,-87.59442865
609981,Hearst,Phobe Apperson Hearst Elementary School,3890,41.70753018,-87.60465959
609983,Hedges,James Hedges Elementary School,3900,41.83959538,-87.64030406
609985,Hefferan,Helen M Hefferan Elementary School,3910,41.80817562,-87.74568939
609986,Henderson,Charles R Henderson Elementary School,3920,41.80711154,-87.67336393
609987,Hendricks,Thomas A Hendricks Elementary Community Academy,3930,41.87869209,-87.73580239
609988,Henry,Patrick Henry Elementary School,3940,41.79059182,-87.67185065
610532,Hernandez,Irene C. Hernandez Middle School for the Advancement of Science,8021,41.89339663,-87.6672865
609961,Heroes,Ninos Heroes Elementary Academic Center,3720,41.84998575,-87.63380702
609991,Herzl,Theodore Herzl Elementary School,3970,41.95898944,-87.71559562
609994,Hibbard,William G Hibbard Elementary School,4000,41.86230965,-87.7182564
610295,Higgins,Thomas J Higgins Elementary Community Academy,7210,41.77530609,-87.72884764
610299,Hinton,William A Hinton Elementary School,7250,41.7561965,-87.57968065
609712,Hirsch HS,Emil G Hirsch Metropolitan High School,1380,41.7183728,-87.62058681
609995,Hitch,Rufus M Hitch Elementary School,4010,41.80976983,-87.67221827
609996,Holden,Charles N Holden Elementary School,4020,41.9703078,-87.71036109
609997,Holmes,Oliver Wendell Holmes Elementary School,4030,41.98367214,-87.77915983
400043,Hope Contr ES,Hope Institute Learning Academy,8067,41.88333459,-87.66807611
609768,Hope HS,Hope College Preparatory High School,1940,41.8526671,-87.66369575
610000,Howe,Julia Ward Howe Elementary School of Excellence,4060,41.83799995,-87.65379106
610002,Hoyne,Thomas Hoyne Elementary School,4080,41.79381509,-87.64979603
609741,Hubbard HS,Gurdon S Hubbard High School,1670,41.68816438,-87.53757009
610005,"Hughes, C",Charles Evans Hughes Elementary School,4110,41.74245208,-87.65359681
610368,"Hughes, L",Langston Hughes Elementary School,8060,41.71619373,-87.6480077
610006,Hurley,Edward N Hurley Elementary School,4120,41.70033568,-87.61120785
609713,Hyde Park HS,Hyde Park Academy High School,1390,41.77512466,-87.66905264
610384,Infinity HS,Infinity Math Science and Technology High School,7680,41.80455878,-87.62441056
400104,Instituto Acad Chtr Health,Instituto Health Sciences Career Academy HS,8026,41.84596533,-87.68554722
400148,Instituto Justice Chtr Acad,Instituto Justice and Leadership Acad Charter HS,9065,41.84542162,-87.68404813
610078,Inter-american,Inter-American Elementary Magnet School,4890,41.91250483,-87.69697811
400162,Intrinsic Schools,Intrinsic Charter HS,9619,41.679319,-87.61793127
610121,Irving,Washington Irving Elementary School,5350,41.78689479,-87.73270311
610060,"Jackson, A",Andrew Jackson Elementary Language Academy,4690,41.78090344,-87.69215172
610369,"Jackson, M",Mahalia Jackson Elementary School,8090,41.87797815,-87.76633426
610010,Jahn,Friedrich Ludwig Jahn Elementary School,4170,41.76681272,-87.71954153
610011,Jamieson,Minnie Mars Jamieson Elementary School,4180,41.87125537,-87.65332885
609783,Jefferson Alt HS,Nancy B Jefferson Alternative High School,2120,41.80211216,-87.62582006
610012,Jenner,Edward Jenner Elementary Academy of the Arts,4200,41.93924675,-87.67584646
610271,Jensen,Jensen Elementary Scholastic Academy,6920,41.74018301,-87.60121103
610274,Johnson,James Weldon Johnson Elementary School,6940,41.97094857,-87.65479521
609678,Jones HS,William Jones College Preparatory High School,1060,41.7371465,-87.5732668
609805,Joplin,Scott Joplin Elementary School,2330,41.95075308,-87.66496708
609865,Jordan,Jordan Elementary Community School,2870,41.8995653,-87.68197478
609764,Juarez HS,Benito Juarez Community Academy High School,1890,41.70744607,-87.60306435
609762,Julian HS,Percy L Julian High School,1870,41.65629056,-87.5905838
610015,Jungman,Joseph Jungman Elementary School,4230,41.902054,-87.64109227
609920,Kanoon,Gerald Delgado Kanoon Elementary Magnet School,3370,42.00966309,-87.67002218
610084,Keller,Annie Keller Elementary Gifted Magnet School,4960,41.69573313,-87.70584655
609925,Kellman,Joseph Kellman Corporate Community ES,3410,41.92048339,-87.75821282
610016,Kellogg,Kate S Kellogg Elementary School,4240,41.725271,-87.677275
609715,Kelly HS,Thomas Kelly High School,1400,41.75374887,-87.60169064
609716,Kelvyn Park HS,Kelvyn Park High School,1410,41.78225743,-87.58657835
609718,Kennedy HS,John F Kennedy High School,1420,41.81872965,-87.69460198
609746,Kenwood HS,Kenwood Academy High School,1710,41.98294508,-87.72238559
610019,Kershaw,Joshua D Kershaw Elementary School,4270,41.84791328,-87.69731481
610022,Kilmer,Joyce Kilmer Elementary School,4300,41.77645329,-87.64085537
609751,King HS,Dr  Martin Luther King  Jr  College Prep HS,1760,41.98131478,-87.70874457
610026,Kinzie,John H Kinzie Elementary School,4330,42.003641,-87.66818568
610027,Kipling,Rudyard Kipling Elementary School,4350,41.84848725,-87.7160541
400044,Kipp Ascend Chtr Campus,KIPP Ascend Academy Charter Elementary School,7810,41.85838712,-87.72126297
400163,Kipp Bloom Chtr Campus,KIPP Charter Bloom,9627,41.88244676,-87.62777305
400146,Kipp Create,KIPP Charter Create,9605,41.892202,-87.74721568
610030,Kozminski,Charles Kozminski Elementary Community Academy,4390,41.7236264,-87.63955735
609719,Lake View HS,Lake View High School,1430,41.92794584,-87.73599952
609720,Lane HS,Albert G Lane Technical High School,1440,41.79048243,-87.78039472
609869,Langford,Anna R. Langford Community Academy,2900,41.9555538,-87.68372855
609993,Lara,Agustin Lara Elementary Academy,3980,41.86687504,-87.6285783
610033,Lasalle,LaSalle Elementary Language Academy,4420,41.79797444,-87.60248098
610520,Lasalle Ii,LaSalle II Magnet Elementary School,8040,41.95046051,-87.73067838
610208,Lavizzo,Mildred I Lavizzo Elementary School,6260,41.79904697,-87.75889174
610034,Lawndale,Lawndale Elementary Community Academy,4430,41.71926451,-87.65249965
